Date,Time,Season,HomeTeam,AwayTeam,HTHG,HTAG,FTR,Pregame_Prob_H,Pregame_Prob_D,Pregame_Prob_A
2017-08-06,,17-18,Aves,Sp Lisbon,0.0,1.0,A,0.4345717,0.21406865,0.35135964
2017-08-06,,17-18,Setubal,Moreirense,1.0,0.0,D,0.47351056,0.2332498,0.29323968
2017-08-07,,17-18,Feirense,Tondela,0.0,1.0,D,0.47351056,0.2332498,0.29323968
2017-08-07,,17-18,Portimonense,Boavista,0.0,1.0,H,0.47786954,0.23629206,0.28583837
2017-08-07,,17-18,Rio Ave,Belenenses,1.0,0.0,H,0.489463,0.21776396,0.292773
2017-08-08,,17-18,Maritimo,Pacos Ferreira,0.0,0.0,H,0.4175594,0.25578332,0.32665733
2017-08-09,,17-18,Benfica,Sp Braga,2.0,1.0,H,0.58438855,0.18251897,0.23309244
2017-08-09,,17-18,Porto,Estoril,1.0,0.0,H,0.5935195,0.17850909,0.22797145
2017-08-10,,17-18,Guimaraes,Chaves,2.0,0.0,H,0.5935195,0.17850909,0.22797145
2017-08-11,,17-18,Sp Lisbon,Setubal,0.0,0.0,H,0.7861258,0.11473932,0.09913494
2017-08-12,,17-18,Belenenses,Maritimo,0.0,0.0,H,0.40416905,0.17645234,0.4193786
2017-08-12,,17-18,Boavista,Rio Ave,0.0,1.0,A,0.40081415,0.17498766,0.42419818
2017-08-12,,17-18,Moreirense,Feirense,0.0,0.0,D,0.3923856,0.31091112,0.2967033
2017-08-13,,17-18,Pacos Ferreira,Aves,0.0,2.0,D,0.49732998,0.25701663,0.24565335
2017-08-13,,17-18,Sp Braga,Portimonense,1.0,1.0,H,0.37615344,0.18091907,0.44292748
2017-08-13,,17-18,Tondela,Porto,0.0,1.0,A,0.15168813,0.14234968,0.70596224
2017-08-14,,17-18,Chaves,Benfica,0.0,0.0,A,0.26147318,0.15791902,0.58060783
2017-08-14,,17-18,Estoril,Guimaraes,1.0,0.0,H,0.34780142,0.18307559,0.46912295
2017-08-18,,17-18,Rio Ave,Portimonense,0.0,0.0,H,0.6440974,0.20325084,0.15265174
2017-08-19,,17-18,Benfica,Belenenses,3.0,0.0,H,0.7626781,0.124559514,0.112762414
2017-08-19,,17-18,Guimaraes,Sp Lisbon,0.0,3.0,A,0.23149441,0.155502,0.6130036
2017-08-19,,17-18,Tondela,Estoril,0.0,2.0,A,0.4154945,0.23037401,0.35413152
2017-08-20,,17-18,Aves,Sp Braga,0.0,0.0,A,0.3803484,0.2141654,0.40548623
2017-08-20,,17-18,Maritimo,Boavista,0.0,0.0,H,0.5095157,0.30211747,0.18836685
2017-08-20,,17-18,Porto,Moreirense,2.0,0.0,H,0.79138005,0.10949514,0.09912478
2017-08-20,,17-18,Setubal,Chaves,0.0,0.0,D,0.47017264,0.27858615,0.25124127
2017-08-21,,17-18,Feirense,Pacos Ferreira,1.0,1.0,H,0.37401628,0.35750178,0.26848197
2017-08-25,,17-18,Belenenses,Setubal,1.0,0.0,D,0.30130222,0.38216412,0.31653368
2017-08-26,,17-18,Chaves,Feirense,0.0,1.0,A,0.3642009,0.22603768,0.40976146
2017-08-26,,17-18,Moreirense,Tondela,0.0,1.0,A,0.47019643,0.25393426,0.27586928
2017-08-26,,17-18,Pacos Ferreira,Guimaraes,0.0,0.0,D,0.4518323,0.27546176,0.27270594
2017-08-26,,17-18,Rio Ave,Benfica,0.0,0.0,D,0.19838288,0.2918943,0.5097229
2017-08-27,,17-18,Boavista,Aves,0.0,0.0,H,0.50506335,0.24894558,0.24599107
2017-08-27,,17-18,Sp Braga,Porto,0.0,1.0,A,0.14033501,0.14952739,0.71013755
2017-08-27,,17-18,Sp Lisbon,Estoril,2.0,0.0,H,0.8473864,0.09209521,0.06051835
2017-08-28,,17-18,Portimonense,Maritimo,0.0,0.0,A,0.29213405,0.25407988,0.4537861
2017-09-08,,17-18,Benfica,Portimonense,0.0,0.0,H,0.84761804,0.0925163,0.059865594
2017-09-08,,17-18,Feirense,Sp Lisbon,0.0,0.0,A,0.136748,0.18417393,0.6790781
2017-09-09,,17-18,Maritimo,Rio Ave,0.0,0.0,H,0.40616587,0.25638366,0.33745044
2017-09-09,,17-18,Porto,Chaves,0.0,0.0,H,0.85242623,0.0895971,0.05797664
2017-09-09,,17-18,Tondela,Pacos Ferreira,1.0,0.0,D,0.38726678,0.37095237,0.24178088
2017-09-10,,17-18,Estoril,Moreirense,0.0,1.0,A,0.42648923,0.34491804,0.22859271
2017-09-10,,17-18,Guimaraes,Boavista,0.0,0.0,H,0.39128757,0.3073526,0.30135983
2017-09-10,,17-18,Setubal,Sp Braga,2.0,0.0,H,0.45365715,0.2442439,0.30209893
2017-09-11,,17-18,Aves,Belenenses,1.0,1.0,H,0.4387935,0.21399866,0.3472078
2017-09-15,,17-18,Pacos Ferreira,Setubal,0.0,0.0,H,0.41790795,0.2326988,0.3493932
2017-09-16,,17-18,Boavista,Benfica,0.0,1.0,H,0.21267758,0.15488656,0.63243586
2017-09-16,,17-18,Maritimo,Aves,2.0,0.0,H,0.68049777,0.20265225,0.11684999
2017-09-16,,17-18,Sp Lisbon,Tondela,1.0,0.0,H,0.8473113,0.08905947,0.06362925
2017-09-17,,17-18,Belenenses,Estoril,0.0,0.0,H,0.4519434,0.26605132,0.28200528
2017-09-17,,17-18,Rio Ave,Porto,0.0,0.0,A,0.13948576,0.1760683,0.684446
2017-09-17,,17-18,Sp Braga,Guimaraes,2.0,1.0,H,0.44933364,0.31326923,0.23739718
2017-09-18,,17-18,Chaves,Moreirense,1.0,0.0,H,0.4550049,0.24928011,0.29571497
2017-09-18,,17-18,Portimonense,Feirense,2.0,1.0,H,0.39019403,0.25417477,0.3556312
2017-09-22,,17-18,Porto,Portimonense,3.0,1.0,H,0.85242623,0.0895971,0.05797664
2017-09-23,,17-18,Benfica,Pacos Ferreira,1.0,0.0,H,0.8061485,0.101792514,0.092058994
2017-09-23,,17-18,Estoril,Chaves,0.0,1.0,A,0.39661908,0.3055556,0.29782528
2017-09-23,,17-18,Moreirense,Sp Lisbon,1.0,0.0,D,0.13488029,0.16817065,0.69694906
2017-09-24,,17-18,Aves,Rio Ave,0.0,0.0,D,0.3028773,0.2486708,0.4484519
2017-09-24,,17-18,Feirense,Belenenses,0.0,3.0,A,0.37812835,0.324552,0.29731965
2017-09-24,,17-18,Guimaraes,Maritimo,1.0,1.0,H,0.33591065,0.2182392,0.4458502
2017-09-24,,17-18,Tondela,Sp Braga,1.0,1.0,A,0.38277438,0.24054642,0.37667915
2017-09-25,,17-18,Setubal,Boavista,0.0,0.0,D,0.36909226,0.33992267,0.2909851
2017-09-29,,17-18,Chaves,Tondela,1.0,1.0,D,0.31534263,0.31586355,0.36879376
2017-09-30,,17-18,Boavista,Feirense,1.0,0.0,H,0.39188266,0.30205962,0.3060577
2017-09-30,,17-18,Pacos Ferreira,Moreirense,2.0,1.0,H,0.44264314,0.30428177,0.25307512
